# Region type :   patch ambient_openings
# Faces           : 8098
# Area            : 2.0799987579e+00
# Scale factor    : 1.0000000000e+00
# Time            	sumMag(phi)
0.0017892992      	6.8896619334e-04
0.0018142992      	6.9855363261e-04
0.0018392992      	7.0813820999e-04
0.0018642992      	7.1772322829e-04
0.0018892992      	7.2730546350e-04
0.0019142992      	7.3688811423e-04
0.0019392992      	7.4646806222e-04
0.0019642992      	7.5604828656e-04
0.0019892992      	7.6562603723e-04
0.0020142992      	7.7520400029e-04
0.0020392992      	7.8477949470e-04
0.0020642992      	7.9435490002e-04
0.0020892992      	8.0392789035e-04
0.0021142992      	8.1350071772e-04
0.0021392992      	8.2307122825e-04
0.0021642992      	8.3264155716e-04
0.0021892992      	8.4220967747e-04
0.0022142992      	8.5177757807e-04
0.0022392992      	8.6134334396e-04
0.0022642992      	8.7090880717e-04
0.0022892992      	8.8047217621e-04
0.0023142992      	8.9003519865e-04
0.0023392992      	8.9959630929e-04
0.0023642992      	9.0915684272e-04
0.0023892992      	9.1871566273e-04
0.0024142992      	9.2827365098e-04
0.0024392992      	9.3783020939e-04
0.0024642992      	9.4738564119e-04
0.0024892992      	9.5694001092e-04
0.0025142992      	9.6649294048e-04
0.0025392992      	9.7604501153e-04
0.0025642992      	9.8559542110e-04
0.0025892992      	9.9514512254e-04
0.0026142992      	1.0046929813e-03
0.0026392992      	1.0142403088e-03
0.0026642992      	1.0237857040e-03
0.0026892992      	1.0333307059e-03
0.0027142992      	1.0428736893e-03
0.0027392992      	1.0524163498e-03
0.0027642992      	1.0619569345e-03
0.0027892992      	1.0714971652e-03
0.0028142992      	1.0810352624e-03
0.0028392992      	1.0905730413e-03
0.0028642992      	1.1001087667e-03
0.0028892992      	1.1096440888e-03
0.0029142992      	1.1191774709e-03
0.0029392992      	1.1287104310e-03
0.0029642992      	1.1382416066e-03
0.0029892992      	1.1477721639e-03
0.0030142992      	1.1573010197e-03
0.0030392992      	1.1668291713e-03
0.0030642992      	1.1763558407e-03
0.0030892992      	1.1858816568e-03
0.0031142992      	1.1954061085e-03
0.0031392992      	1.2049295708e-03
0.0031642992      	1.2144516926e-03
0.0031892992      	1.2239727070e-03
0.0032142992      	1.2334925103e-03
0.0032392992      	1.2430110870e-03
0.0032642992      	1.2525285109e-03
0.0032892992      	1.2620447657e-03
0.0033142992      	1.2715599349e-03
0.0033392992      	1.2810738839e-03
0.0033642992      	1.2905867734e-03
0.0033892992      	1.3000984267e-03
0.0034142992      	1.3096091376e-03
0.0034392992      	1.3191184841e-03
0.0034642992      	1.3286269374e-03
0.0034892992      	1.3381339406e-03
0.0035142992      	1.3476399602e-03
0.0035392992      	1.3571444233e-03
0.0035642992      	1.3666479365e-03
0.0035892992      	1.3761500057e-03
0.0036142992      	1.3856512839e-03
0.0036392992      	1.3951510570e-03
0.0036642992      	1.4046500337e-03
0.0036892992      	1.4141475157e-03
0.0037142992      	1.4236442783e-03
0.0037392992      	1.4331395290e-03
0.0037642992      	1.4426340429e-03
0.0037892992      	1.4521270036e-03
0.0038142992      	1.4616191359e-03
0.0038392992      	1.4711098422e-03
0.0038642992      	1.4805997273e-03
0.0038892992      	1.4900882965e-03
0.0039142992      	1.4995759097e-03
0.0039392992      	1.5090621018e-03
0.0039642992      	1.5185474578e-03
0.0039892992      	1.5280315099e-03
0.0040142992      	1.5375146560e-03
0.0040392992      	1.5469965048e-03
0.0040642992      	1.5564774471e-03
0.0040892992      	1.5659571296e-03
0.0041142992      	1.5754359005e-03
